"ID в Амедиатеке";"ID на Кинопоиске";"Оценка IMDB";"Оценка Кинопоиск"
;1309174;6.2;6.524
;5029377;7.6;7.771
;4795963;6.8;0
;401529;8.1;6.834
;1112084;5.5;5.724
;1164851;7.1;6.647
;1040981;6.8;6.941
;818708;8.5;8.331
;4765027;6;0
;567426;7.1;7.308
;582208;5.7;6.431
;4382926;7.6;7.298
;57166;7.1;7.016
;1415125;6.5;0
;4357563;5.7;7.064
;1166571;8.2;7.844
;1319262;7.6;7.056
;4541449;7.3;7.487
;1221530;6.3;6.501
;1149225;5.8;6.114
;271965;7.2;7.197
32772;5061176;6.4;7.213
;1115132;8.1;7.498
;4526286;8.1;7.708
;1387081;7;0
;41431;7.5;8.059
;831781;5.4;0
;4745219;6.6;6.595
;1443825;6.3;0
;1399993;5.6;0
;932344;6;6.398
;1294770;6.9;8.083
;4543063;6.4;6.933
;900004;7.3;7.14
;1269724;8.3;0
;1209247;6.9;0
;4387837;6.8;6.975
;1309955;7.1;7.143
;1331686;8;0
;847174;6.6;6.374
;1199694;7.5;0
;827874;5.6;5.537
;4441114;7.7;6.656
;1302825;6.5;7.174
;4478564;6.7;7.314
;1179985;5.6;5.772
;4739517;7.2;0
;1209249;6.4;0
;4324407;8;0
;395706;6.7;6.645
;1253001;6.5;6.616
;923517;5.8;6.107
;733419;8.4;7.857
;427452;7.9;7.809
;1361186;7.5;0
;820470;6.6;6.457
;1211836;6.9;7.579
;1113246;7.4;6.923
;4947291;5.5;6.538
;1214394;6.7;7.313
;1302823;7.3;7.328
;304351;7.5;7.947
;1209420;7.4;7.495
;1111930;8.6;7.888
;1410329;5.5;0
;1050826;4.5;4.979
;4672965;6.6;6.421
;933875;3.9;4.736
;4726127;7;7.468
;708484;6.5;6.214
;681831;8.9;8.648
;272156;6.8;6.703
;913036;6.7;6.323
;508365;7.6;7.673
;888040;6.3;0
;1142511;7.9;8.029
;41520;7.6;8.198
;1199688;0;7.584
;4439036;6.7;6.777
;4363827;6.6;7.266
;839289;8.6;8.17
;1062142;7.5;7.673
;4357684;7;7.033
;706925;6.5;5.46
;4412315;7.5;7.878
;1267328;6.9;0
;1113315;7.9;7.905
;4388090;4.2;0
;1312758;7.1;7.139
;1199613;5.8;6.013
;4765021;0;7.461
;1119216;7;0
;893408;6.5;7.07
;61579;6.5;5.889
;77036;6.9;7.869
;1197956;8.3;8.297
;1122150;7.5;7.046
;214333;8.4;7.728
;424286;8.3;7.659
;1209725;0;7.736
;1441973;6.8;6.933
;462973;6.9;6.818
;1355310;8.5;7.167
;4433308;8.1;7.96
;844164;6.6;0
;1011603;7.4;7.156
;1114904;6.8;0
;4947173;6.4;7.198
;1395332;0;6.593
;1048154;7.6;7.442
;1109257;7.3;0
;1402671;7;7.292
;1152519;5.7;5.761
;94871;7.5;6.674
;928523;7.8;0
;465451;7.3;7
;1311919;6.3;7.403
;479401;7;0
;300892;7.1;7.079
;5018494;7.6;7.559
;1118403;6.7;6.61
;8114;6.9;6.809
;1312285;4.6;6.516
;409300;7.5;0
;466924;7.2;6.684
;272137;6.7;6.743
;702876;7.8;6.863
;298156;6.2;5.937
;77854;5.6;6.548
;4440098;4.9;6.357
;4765022;6.9;0
;1280759;7.5;6.623
;635929;6.7;6.675
;399984;8.6;7.924
;5047828;7.7;7.28
;933326;8.1;7.757
;1248354;7.6;7.152
;1393461;9.3;7.612
;661171;6.9;0
;4541604;6.4;0
;996626;7.6;6.558
;778784;6.5;5.694
;4326667;7.4;0
;950585;7.8;7.082
;1231057;6.2;6.419
;1002684;7.1;7.813
;975925;0;0
;252132;6;6.233
;4412502;5.6;6.394
;294896;7.7;6.949
;302080;7.7;7.79
;1007720;6.2;6.039
;1178445;8.3;7.53
;1297263;5.8;6.62
;5099110;5.8;6.63
;609799;6.8;6.88
;1006636;6.9;6.774
;841886;7.1;6.862
;975184;7.7;0
;1352391;7.2;0
;195523;8.5;7.869
;1090179;7.1;7.226
;79519;7.3;6.741
;1169853;5.8;5.5
;1102754;6.3;0
;707006;7.4;6.42
;1072991;6.8;6.438
;1140676;8;7.916
;1432532;7.8;7.526
;1392657;7.7;0
;63979;7.4;6.965
;4838813;6;0
;1214987;6.2;7.088
;339359;8.5;7.696
;1235986;6.2;0
;1333758;7.5;7.824
;4472200;7.2;7.543
;79848;9.2;8.808
;1141209;6.2;6.101
;1191096;7.4;6.744
;974200;5;0
;4395202;7.5;6.899
;1191660;7.1;7.476
;1342902;7.1;0
;1232130;7.5;7.473
;4412194;8.3;8.111
;416131;7.3;6.489
;744275;8.3;7.33
;79887;7;6.724
;1161838;6.6;0
;20145;7.1;6.395
;893490;8.2;7.379
;1387402;5.9;6.18
;4473126;7.6;7.075
;572049;8.4;7.447
;4994536;7.9;6.677
;1046513;6.7;6.533
;933728;6.4;6.377
;4404110;6.4;0
;573662;7.4;7.161
;1269611;7.4;7.633
;1293735;6.6;0
;272002;7;6.976
;5211436;7.2;6.878
;1426467;7.3;7.226
;4791617;0;0
;771363;8;7.387
;464639;7.5;7.314
;1061117;7.2;7.13
;1118647;7.1;6.62
;957688;7.3;6.864
;402955;9.3;8.482
;1219142;3.9;6.358
;257386;8.7;8.32
;1230284;6.5;7.16
;504276;6.5;5.995
;1011528;8;7.999
;4849246;7.3;0
;4880747;6.6;7.179
;1260303;7.1;7.683
;277542;6.8;7.301
;762087;7.8;7.277
;229288;8.6;7.362
;195532;6.5;7.05
;1113052;7.2;0
;4514070;7.1;7.215
;4533;7.4;6.729
;713844;7.3;7.151
;1254133;8.4;8.168
;1142597;7.5;7.965
;986788;8.9;8.169
;1309159;5.8;0
;1232982;6.8;7.001
;696973;8.4;8.039
;807209;6.6;6.167
;1103810;6.4;0
;840848;8.6;7.751
;4291806;6.8;7.252
;1172706;7.5;7.857
;935896;6.9;6.926
;1006633;8.3;7.763
;4783935;5.7;0
;863009;8.3;8.233
;993578;7.1;7.07
;584170;6.8;6.329
;532801;7.6;6.95
;1195990;7.4;7.153
;464963;9.2;8.979
;414891;8.5;7.988
;4467466;8.2;7.599
;4312979;8.2;8.556
;1272547;7.2;7.262
;1007503;8.1;7.661
;1007679;6.1;6.15
;4825338;7.4;7.744
;1299841;7;7.026
;313179;7.2;7.571
;4370955;6.5;0
;505661;8.1;7.564
;1186650;6;0
;499941;5.6;6.03
;415001;7.9;7.668
;324068;8.3;7.387
;473939;7.8;7.063
;5026474;7.2;7.576
;1162527;7.6;7.17
;818949;7;5.966
;277536;7.7;7.013
;1324140;7.6;7.314
;1075139;5.1;5.36
;1263293;0;8.233
;1114905;8.4;7.345
;1436639;7;6.968
;1328359;7.1;7.061
;972587;8.4;7.683
;802295;7;7.205
;891439;8;7.458
;1172087;7.5;6.345
;4292322;7.8;7.462
;907800;6.7;7.413
;4294914;7.7;7.873
;798660;7.7;7.841
;402947;6.6;6.498
;1219257;8.4;8.184
;2000461;7.9;7.492
;79520;6.8;7.124
;756353;8;0
;1209889;7.1;0
;4841266;6.6;7.631
;4698794;6.3;7.054
;916125;7.5;6.488
;339407;7.8;7.809
;980165;7.3;0
;233084;8.1;8.226
;1009251;7.5;7.722
;4893538;7.2;7.631
;6172;6.5;6.437
;723959;8.5;8.382
;181807;8.7;7.879
;978060;6.5;6.523
;1212764;7.8;7.48
;1167442;6.4;6.408
;277559;8.8;7.327
;1342214;7;6.396
;843580;6.8;5.919
;1390190;6.6;0
;737644;8;7.518
;1046272;8.2;6.971
;1236285;8;0
;667871;8.3;7.819
;1355341;6.1;6.381
;1394680;8.1;7.981
;5215260;7.4;7.512
;1305918;7.3;7.33
;4894502;6.2;6.491
;5097101;7.1;6.244
;1158929;7.4;6.921
;1165820;5.5;6.943
;1361177;7.1;0
;784529;8.3;8.033
;1062201;6.2;5.835
;1008661;6.6;6.354
;1321182;7.8;7.39
;161166;6.9;7.445
;520802;5.7;5.176
;2000039;5.9;6.48
;424153;8.2;7.976
;1236372;7.9;7.686
;84358;8.8;8.42
;1112665;7.4;0
;1354291;6.7;6.451
;1049199;6.8;6.393
;1432641;6.8;6.905
;1138252;6.9;0
;1017397;8.4;8.14
;891657;8;7.476
;5020916;7.5;0
;313262;7.2;6.446
;1337514;7.1;7.588
;904491;6.8;6.296
;756634;7.4;7.256
;1369770;5.7;6.108
;4715912;6.9;0
;1337287;7;6.61
;870265;8.6;8.004
;920012;7.3;6.671
;41519;7.8;8.307
;1406441;7.6;7.988
;494753;6.9;6.653
;1385392;7.9;0
;1049102;7.7;8.033
;401120;7.6;6.893
;1312714;7.5;7.693
;4710756;7.4;7.436
;1202993;0;8.646
;404897;8.3;7.818
;1209803;6.7;0
;298967;6.5;6.096
;1160654;7.2;7.217
;1309552;5.5;6.246
;474779;8.6;8.13
;1159922;7.8;7.767
;418845;7.9;7.79
;1289335;5.4;6.531
;1272097;8.3;8.62
;1039441;7.5;6.964
;4642864;8.1;7.723
;978496;7;6.989
;277537;8.7;8.274
;1151030;5.1;6.055
;1334395;7.2;7.828
;1438382;7.8;7.529
;5030035;8.5;7.549
;4514081;7;0
;4472995;7.5;0
;4847379;7.8;0
;300847;6.7;6.623
;1056155;7.4;7.206
;4447298;0;0
;1380922;7.2;7.531
;957407;5.8;6.86
;1449364;6.6;7.073
;1419924;7.2;0
;77042;7.3;8.147
;1179946;8.2;7.45
;271762;7.9;7.755
;1231016;7.4;7.135
;1177926;6.8;7.179
;38795;6.7;7.325
;4396499;5.4;6.59
;584777;8.6;8.037
;1170183;8.1;7.558
;4853528;7;7.531
;1406458;8.7;8.378
;1144132;6.8;0
;309339;5;5.333
;633825;7.6;7.544
;986645;8.1;7.075
;277548;8.4;8.299
;5056034;5.8;0
;1347304;0;7.112
;1144287;6.9;7.53
;928372;8.2;8.199
;1113449;8.2;8.071
;1197656;5.3;0
;94249;9.4;8.629
;325741;8.2;7.094
;4765020;7.1;7.845
31294;1316601;8.5;8.122
;946974;7.3;6.935
;1060675;7.6;6.794
;4903069;8;0
;568326;7.4;7.381
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
